Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,16.27,16.44,9.27,16.25,15.94,15.17,14.41,12.88,0.2,4.18,16.95,13.38
AFL,Aflac,Financials,Life & Health Insurance,114.82,117.47,97.05,115.21,114.83,111.93,110.67,106.77,0.2,3.2,118.49,105.37
APD,Air Products,Materials,Industrial Gases,279.47,309.12,229.09,288.25,284.34,273.19,259.22,269.09,0.1,6.74,298.31,248.07
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,111.95,111.95,68.21,100.1,96.74,96.84,91.35,81.6,0.2,-4.22,107.23,86.45
ALGN,Align Technology,Health Care,Health Care Supplies,186.34,207.19,124.88,191.3,180.17,173.65,166.79,159.82,0.2,6.16,197.82,149.49
LNT,Alliant Energy,Utilities,Electric Utilities,71.18,71.18,56.96,68.8,67.59,66.98,65.72,63.99,0.2,-2.09,69.69,64.26
AEE,Ameren,Utilities,Multi-Utilities,110.54,110.54,92.2,107.19,105.7,104.6,101.61,99.57,0.2,-1.72,108.64,100.55
AEP,American Electric Power,Utilities,Electric Utilities,129.72,129.72,96.26,123.96,121.55,119.68,116.79,110.56,0.2,-2.78,126.11,113.25
AMT,American Tower,Real Estate,Telecom Tower REITs,191.7,228.1,168.51,182.52,177.87,178.58,176.65,193.98,0.1,-1.66,188.52,168.64
AWK,American Water Works,Utilities,Water Utilities,133.36,148.23,122.12,126.51,125.51,127.49,128.79,135.27,0.2,0.32,133.79,121.19
AMGN,Amgen,Health Care,Biotechnology,369.38,384.32,256.06,368.52,364.42,353.45,338.01,302.59,0.2,3.78,383.34,323.55
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,353.99,353.99,125.98,336.38,325.31,325.87,294.41,216.6,0.4,-1.08,350.17,301.56
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,85.3,88.67,47.92,84.12,81.99,79.87,79.66,75.88,0.2,0.43,85.67,74.07
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,98.39,101.98,84.72,98.15,98.73,96.03,95.0,91.68,0.2,4.13,102.45,89.61
ATO,Atmos Energy,Utilities,Gas Utilities,179.13,179.13,142.69,175.7,172.85,170.1,169.01,164.01,0.2,-0.59,178.07,162.12
AZO,AutoZone,Consumer Discretionary,Automotive Retail,3848.67,4354.54,3244.92,3734.47,3707.32,3700.78,3560.91,3810.32,0.1,0.19,3855.98,3545.58
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,195.74,195.74,156.63,192.84,191.56,188.84,184.77,174.63,0.2,0.2,196.13,181.53
BDX,Becton Dickinson,Health Care,Health Care Equipment,176.06,180.62,127.66,173.84,168.12,164.16,159.03,146.43,0.2,0.75,177.38,150.94
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,65.81,86.45,53.98,66.58,67.14,66.7,69.03,70.83,0.2,5.47,69.41,63.99
BIIB,Biogen,Health Care,Biotechnology,196.67,201.18,113.38,193.23,189.4,181.0,178.76,149.24,0.2,2.59,201.76,160.23
BLK,BlackRock,Financials,Asset Management & Custody Banks,1069.64,1196.76,803.7,1075.17,1075.29,1101.01,1091.44,1070.56,0.2,8.69,1162.59,1039.43
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,60.58,61.99,42.1,60.4,59.3,57.03,54.91,47.9,0.2,3.0,62.4,51.67
AVGO,Broadcom,Information Technology,Semiconductors,324.9,412.18,145.42,336.64,328.61,329.88,345.77,311.98,0.2,7.85,350.4,309.37
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,29.89,37.07,25.25,30.05,29.32,28.25,28.05,28.68,0.1,3.48,30.93,25.58
BLDR,Builders FirstSource,Industrials,Building Products,115.29,153.9,94.85,123.11,121.56,121.13,114.25,120.16,0.1,13.0,130.28,111.98
CDNS,Cadence Design Systems,Information Technology,Application Software,288.33,373.37,231.64,292.3,285.71,300.75,313.31,324.36,0.2,16.48,335.85,265.66
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,29.5,40.01,25.87,29.18,28.63,27.74,27.67,30.49,0.1,1.59,29.97,25.52
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",31.75,33.99,16.43,32.72,32.55,30.75,30.02,28.05,0.2,9.32,34.71,26.79
CNP,CenterPoint Energy,Utilities,Multi-Utilities,42.44,42.44,32.62,41.27,40.66,40.05,38.93,38.03,0.2,-1.46,41.82,38.29
CHTR,Charter Communications,Communication Services,Cable & Satellite,239.15,427.25,182.81,240.95,230.99,210.64,208.28,283.97,0.1,6.79,255.39,165.89
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,183.48,185.82,129.22,183.31,181.0,174.81,162.2,151.49,0.2,2.86,188.73,160.9
CB,Chubb Limited,Financials,Property & Casualty Insurance,324.58,332.51,262.8,327.72,325.49,314.14,309.95,288.9,0.2,4.52,339.25,289.05
CTAS,Cintas,Industrials,Diversified Support Services,193.22,226.65,181.6,196.75,194.8,193.69,190.72,203.28,0.3,3.18,199.36,188.02
CFG,Citizens Financial Group,Financials,Regional Banks,65.01,68.12,33.06,66.38,66.32,64.28,60.83,50.45,0.2,6.28,69.09,59.48
CMS,CMS Energy,Utilities,Multi-Utilities,76.59,76.59,67.29,74.48,73.21,72.31,71.1,71.25,0.1,-1.65,75.33,69.29
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,78.57,79.03,65.21,78.19,77.81,75.22,72.09,69.57,0.2,2.93,80.87,69.57
CMCSA,Comcast,Communication Services,Cable & Satellite,31.56,33.84,24.51,31.96,31.19,30.04,28.23,29.32,0.1,3.96,32.81,27.26
FIX,Comfort Systems USA,Industrials,Construction & Engineering,1337.3,1338.65,295.83,1305.85,1241.35,1192.0,1069.5,783.13,0.4,-0.0,1337.3,1046.74
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,19.78,25.69,15.77,19.65,19.44,18.44,17.5,18.51,0.1,4.6,20.69,16.2
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,111.45,111.45,80.54,109.94,107.66,103.47,98.24,92.36,0.2,1.88,113.55,93.4
ED,Consolidated Edison,Utilities,Multi-Utilities,113.51,113.51,91.75,110.04,108.77,106.76,101.91,100.39,0.2,-1.23,112.11,101.4
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1017.88,1070.99,848.84,992.74,987.88,976.94,922.24,949.37,0.3,-0.55,1012.28,941.59
CCI,Crown Castle,Real Estate,Telecom Tower REITs,90.44,111.32,78.37,86.39,84.67,85.85,87.06,94.43,0.2,1.02,91.36,80.33
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,211.56,220.76,167.96,213.09,211.39,207.23,196.41,196.88,0.1,4.37,220.81,193.65
DDOG,Datadog,Information Technology,Application Software,125.13,199.72,87.0,124.45,120.51,124.94,133.58,138.48,0.2,13.87,142.49,107.4
DAY,Dayforce,Industrials,Human Resource & Employment Services,69.86,71.74,49.33,69.31,69.31,69.32,69.21,63.99,0.2,-0.23,69.7,68.93
DECK,Deckers Brands,Consumer Discretionary,Footwear,115.6,158.11,79.54,115.4,114.54,108.3,104.73,104.48,0.2,6.84,123.51,93.09
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",117.38,164.16,70.32,120.26,119.61,117.69,123.69,126.71,0.2,6.65,125.19,110.19
DXCM,Dexcom,Health Care,Health Care Equipment,70.03,90.75,54.84,68.32,69.64,71.15,68.88,74.19,0.3,8.13,75.72,66.58
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,169.05,169.05,116.78,167.27,165.86,160.87,155.17,144.66,0.2,2.86,173.88,147.85
DLR,Digital Realty,Real Estate,Data Center REITs,181.0,181.0,133.15,176.11,171.32,166.73,160.29,165.93,0.1,-0.71,179.71,153.74
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,153.52,153.52,70.34,148.57,147.52,146.87,140.35,113.49,0.2,-0.98,152.02,141.73
D,Dominion Energy,Utilities,Multi-Utilities,66.38,66.38,47.97,64.46,63.09,61.83,60.06,58.23,0.2,-1.36,65.48,58.19
DOW,Dow Inc.,Materials,Commodity Chemicals,32.44,36.96,20.27,32.96,31.89,29.83,26.5,25.19,0.2,6.38,34.51,25.15
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,167.83,182.95,113.76,162.41,158.7,155.21,152.9,147.28,0.2,-0.72,166.62,143.79
DTE,DTE Energy,Utilities,Multi-Utilities,144.76,144.76,123.64,139.65,137.35,136.44,132.44,134.16,0.1,-2.13,141.68,131.2
DUK,Duke Energy,Utilities,Electric Utilities,128.05,128.05,108.01,124.94,123.34,121.41,118.65,119.35,0.1,-0.97,126.81,116.01
DD,DuPont,Materials,Specialty Chemicals,50.13,51.53,22.69,49.52,47.76,45.8,43.22,34.54,0.2,1.56,50.91,40.69
ECL,Ecolab,Materials,Specialty Chemicals,298.75,303.55,223.93,298.15,292.25,286.49,273.54,268.23,0.2,1.28,302.57,270.4
EIX,Edison International,Utilities,Electric Utilities,71.35,71.35,46.16,67.35,65.02,63.27,60.56,54.96,0.2,-3.21,69.06,57.47
EME,Emcor,Industrials,Construction & Engineering,799.45,808.51,341.31,789.24,761.31,735.35,673.62,605.89,0.2,0.97,807.2,663.49
ETR,Entergy,Utilities,Electric Utilities,105.18,105.18,76.9,101.04,98.66,96.7,94.18,89.04,0.2,-2.38,102.68,90.71
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,120.76,130.82,100.82,116.68,114.31,111.44,107.88,111.31,0.3,-0.84,119.75,103.14
EQIX,Equinix,Real Estate,Data Center REITs,956.0,957.87,726.09,899.17,856.59,830.52,790.2,800.99,0.1,-3.08,926.56,734.46
ERIE,Erie Indemnity,Financials,Insurance Brokers,279.0,443.04,269.57,278.13,281.3,280.8,282.67,320.63,0.2,4.08,290.38,271.21
EVRG,Evergy,Utilities,Electric Utilities,82.67,82.67,62.25,79.71,78.39,77.44,74.98,71.82,0.2,-2.26,80.8,74.07
ES,Eversource Energy,Utilities,Electric Utilities,73.34,74.05,52.39,70.16,69.06,69.59,68.2,66.12,0.2,-1.2,72.46,66.72
EXC,Exelon,Utilities,Electric Utilities,48.49,48.49,41.15,45.82,44.88,44.78,44.1,44.09,0.2,-2.87,47.1,42.45
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,146.21,154.13,122.37,142.96,140.84,141.37,136.21,139.47,0.1,1.31,148.13,134.61
XOM,ExxonMobil,Energy,Integrated Oil & Gas,148.38,154.53,96.61,150.73,147.37,140.92,128.08,113.7,0.2,5.25,156.17,125.68
FAST,Fastenal,Industrials,Trading Companies & Distributors,46.38,49.85,34.87,46.42,46.66,45.11,42.88,43.41,0.1,4.74,48.58,41.65
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,104.83,107.65,80.76,106.06,104.52,103.1,101.03,96.16,0.2,2.75,107.71,98.48
FE,FirstEnergy,Utilities,Electric Utilities,50.02,50.02,36.46,48.25,47.34,47.04,45.45,43.2,0.2,-2.24,48.9,45.19
FTNT,Fortinet,Information Technology,Systems Software,84.26,114.57,74.39,85.26,82.82,80.94,80.88,88.91,0.1,4.32,87.9,73.98
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,801.55,823.67,269.5,806.82,783.24,735.01,686.94,590.99,0.2,5.33,844.27,625.71
GNRC,Generac,Industrials,Electrical Components & Equipment,223.85,223.85,101.92,204.54,190.0,179.66,162.4,159.77,0.2,-4.24,214.36,144.95
GD,General Dynamics,Industrials,Aerospace & Defense,347.7,367.38,237.36,350.74,352.09,356.46,348.99,319.57,0.2,6.87,371.59,341.33
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,48.31,62.19,42.35,48.53,47.95,46.29,45.8,48.32,0.1,3.48,49.99,42.6
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,80.95,86.38,42.15,80.33,82.55,82.34,81.57,62.75,0.2,8.24,87.62,77.07
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,147.36,149.26,103.09,147.39,146.37,141.99,133.45,129.42,0.2,3.07,151.88,132.09
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,33.94,35.03,18.84,34.44,34.2,33.82,31.14,24.66,0.2,4.07,35.32,32.32
HAS,Hasbro,Consumer Discretionary,Leisure Products,102.45,105.94,49.29,102.14,98.51,93.52,87.41,76.83,0.2,2.9,105.42,81.63
HCA,HCA Healthcare,Health Care,Health Care Facilities,539.95,539.95,304.02,521.25,511.14,494.4,483.84,423.16,0.4,-0.09,539.46,449.33
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,222.07,231.53,148.99,227.74,219.99,206.67,193.83,179.82,0.2,7.56,238.86,174.48
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",314.54,325.13,200.93,319.91,313.9,305.39,295.1,271.18,0.2,3.57,325.77,285.01
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,391.0,420.7,329.16,388.52,385.65,382.49,365.99,373.14,0.1,0.67,393.62,371.35
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,19.89,19.96,12.16,19.77,19.41,19.0,18.35,16.47,0.2,0.75,20.04,17.96
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,250.43,250.43,112.05,235.14,223.73,219.88,211.17,189.68,0.2,-3.01,242.89,196.87
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,523.58,523.58,312.92,512.97,504.27,494.96,470.34,430.21,0.4,-0.49,521.01,468.89
