Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
MMM,3M,Industrials,Industrial Conglomerates,165.36,173.83,123.81,165.97,166.56,165.66,163.25,156.8,0.0,7.44,177.66,153.65
AOS,A. O. Smith,Industrials,Building Products,78.0,80.47,58.44,77.08,77.98,77.96,72.78,69.2,0.2,4.56,81.56,74.36
ABT,Abbott Laboratories,Health Care,Health Care Equipment,116.28,137.64,106.05,115.43,113.98,112.2,117.49,126.37,0.0,0.6,116.98,107.43
ABBV,AbbVie,Health Care,Biotechnology,230.6,240.69,166.16,228.03,228.24,225.52,223.44,209.76,0.0,1.25,233.48,217.54
ACN,Accenture,Information Technology,IT Consulting & Other Services,208.11,353.34,191.5,200.98,210.29,226.03,255.3,264.84,-0.2,27.6,265.55,186.5
ADBE,Adobe Inc.,Information Technology,Application Software,262.28,451.24,246.68,256.2,258.64,265.68,302.66,346.39,-0.2,9.97,288.43,242.94
AMD,Advanced Micro Devices,Information Technology,Semiconductors,199.43,264.33,78.21,204.88,203.84,210.69,218.65,186.58,0.0,20.14,239.6,181.79
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,17.23,17.23,9.27,16.48,16.42,16.1,14.9,13.16,0.2,0.0,17.23,14.98
AFL,Aflac,Financials,Life & Health Insurance,113.35,116.85,96.54,112.91,113.41,113.62,110.97,106.64,0.0,3.23,117.01,110.23
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,121.33,156.92,98.71,123.12,124.15,127.27,134.81,129.4,-0.2,11.5,135.28,119.26
APD,Air Products,Materials,Industrial Gases,276.08,308.19,229.09,279.07,279.7,281.67,265.53,269.72,-0.1,6.21,293.22,270.13
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",136.97,144.03,105.69,129.1,125.71,125.04,130.96,128.58,0.2,-1.39,135.07,115.02
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,98.23,111.76,68.21,99.41,103.03,99.15,94.25,82.53,0.0,13.55,111.54,86.75
ALB,Albemarle Corporation,Materials,Specialty Chemicals,178.99,195.87,50.01,184.83,176.75,171.54,165.42,104.0,0.0,6.18,190.05,153.03
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,54.26,96.28,44.32,54.18,53.9,54.26,53.19,65.37,-0.1,4.96,56.95,51.57
ALGN,Align Technology,Health Care,Health Care Supplies,189.54,207.19,124.88,186.72,187.78,182.81,171.77,160.25,-0.2,8.87,206.35,159.27
ALLE,Allegion,Industrials,Building Products,161.12,179.77,118.08,158.94,162.28,168.23,164.79,161.75,0.0,14.76,184.9,151.57
LNT,Alliant Energy,Utilities,Electric Utilities,72.21,72.21,56.96,71.69,71.13,69.1,66.85,64.51,0.0,1.99,73.65,64.55
ALL,Allstate,Financials,Property & Casualty Insurance,215.22,215.22,177.94,210.66,209.21,206.79,204.51,202.04,0.0,0.5,216.3,197.3
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,307.38,343.69,144.3,310.01,307.89,317.52,319.9,249.39,-0.2,11.69,343.31,291.72
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,306.96,344.9,146.18,309.95,308.1,317.83,320.44,250.12,-0.2,12.04,343.92,291.74
MO,Altria,Consumer Staples,Tobacco,69.11,69.7,51.4,69.3,68.26,66.43,61.97,60.3,0.2,2.63,70.93,61.94
AMZN,Amazon,Consumer Discretionary,Broadline Retail,208.43,254.0,167.32,208.16,206.05,213.34,226.56,224.34,-0.2,15.36,240.44,186.23
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,48.72,50.08,38.59,49.05,49.13,47.92,44.4,43.45,0.2,6.42,51.85,43.98
AEE,Ameren,Utilities,Multi-Utilities,113.15,113.15,92.2,111.81,110.87,107.92,103.81,100.22,0.0,1.26,114.58,101.27
AEP,American Electric Power,Utilities,Electric Utilities,134.13,134.13,96.26,132.62,130.84,125.65,119.65,111.81,0.0,2.07,136.91,114.38
AXP,American Express,Financials,Consumer Finance,309.16,384.04,229.71,322.66,333.04,343.61,359.36,333.54,-0.4,20.32,371.98,315.24
AIG,American International Group,Financials,Multi-line Insurance,80.93,86.59,71.89,80.25,79.87,77.89,78.66,79.46,0.0,2.0,82.55,73.23
AMT,American Tower,Real Estate,Telecom Tower REITs,190.5,228.1,168.51,187.65,188.21,182.42,178.38,192.76,0.1,3.27,196.73,168.11
AWK,American Water Works,Utilities,Water Utilities,136.38,148.23,122.12,134.39,133.08,129.04,129.48,134.83,0.0,1.17,137.98,120.11
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,469.42,543.89,416.77,470.93,471.9,496.03,497.59,495.5,-0.2,18.54,556.45,435.61
AME,Ametek,Industrials,Electrical Components & Equipment,238.28,238.28,150.67,235.31,234.02,232.04,219.92,193.99,0.0,0.31,239.02,225.07
AMGN,Amgen,Health Care,Biotechnology,386.39,386.39,254.3,382.47,378.49,368.84,345.92,305.5,0.2,2.89,397.56,340.1
APH,Amphenol,Information Technology,Electronic Components,144.86,166.25,58.79,149.06,149.06,144.83,143.73,121.27,0.2,8.88,157.72,131.94
ADI,Analog Devices,Information Technology,Semiconductors,353.74,360.8,162.63,356.03,350.14,336.0,308.67,255.53,0.0,4.09,368.21,303.78
AON,Aon plc,Financials,Insurance Brokers,337.52,407.61,309.97,325.42,324.71,329.08,339.99,352.11,-0.2,5.39,355.71,302.43
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,30.21,30.21,13.34,28.9,28.65,27.83,26.04,22.36,0.2,-0.66,30.01,25.66
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,104.86,154.24,104.86,112.87,117.64,123.82,135.34,135.02,-0.2,33.09,139.56,108.08
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",264.86,285.92,171.67,270.07,265.95,268.65,265.21,242.5,0.2,6.23,281.36,255.94
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,374.66,394.95,125.82,379.36,372.4,347.07,313.37,226.26,0.2,7.44,402.53,291.61
APP,AppLovin,Information Technology,Application Software,430.08,733.6,219.37,414.1,407.25,420.83,547.17,508.5,-0.2,14.76,493.56,348.11
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,73.91,88.67,47.92,76.39,79.38,80.2,79.85,76.73,0.0,17.4,86.77,73.64
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,100.34,101.98,84.72,99.45,98.94,98.72,96.12,91.96,0.0,1.43,101.77,95.67
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,69.07,69.07,40.37,67.93,68.15,67.65,63.96,58.11,-0.2,1.04,69.79,65.51
ARES,Ares Management,Financials,Asset Management & Custody Banks,112.0,190.32,112.0,116.2,123.23,129.76,151.44,162.51,0.0,33.77,149.82,109.69
ANET,Arista Networks,Information Technology,Communications Equipment,132.95,162.03,64.37,130.46,134.6,136.15,133.73,127.09,0.2,10.12,146.4,125.89
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,228.41,346.41,204.79,220.41,217.39,224.53,243.61,281.4,-0.2,11.56,254.81,194.24
AIZ,Assurant,Financials,Multi-line Insurance,230.02,242.33,176.95,224.97,222.94,228.45,233.49,212.91,-0.2,7.56,247.41,209.5
T,AT&T,Communication Services,Integrated Telecommunication Services,27.88,28.96,23.0,28.02,28.12,27.7,25.44,26.34,0.1,4.7,29.19,26.2
ATO,Atmos Energy,Utilities,Gas Utilities,186.21,186.21,141.9,183.13,180.82,175.72,170.46,164.19,0.0,0.79,187.68,163.76
ADSK,Autodesk,Information Technology,Application Software,245.54,326.79,218.64,228.67,228.57,234.95,262.94,292.88,-0.2,3.98,255.31,214.59
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,214.4,321.43,205.68,211.68,213.13,222.02,243.99,278.08,0.0,14.95,246.45,197.58
AZO,AutoZone,Consumer Discretionary,Automotive Retail,3758.23,4354.54,3244.92,3740.75,3754.25,3723.57,3583.29,3811.17,-0.3,2.39,3848.05,3599.04
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,176.55,220.14,169.7,177.69,177.53,176.5,178.27,186.29,0.0,2.57,181.09,171.9
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,196.22,197.45,156.63,195.2,195.21,192.88,187.84,175.77,0.0,1.75,199.65,186.09
AXON,Axon Enterprise,Industrials,Aerospace & Defense,534.31,870.97,399.65,494.13,463.74,451.39,538.51,670.5,0.4,-0.92,529.39,373.41
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,65.64,65.64,34.31,64.75,63.09,60.8,53.86,46.22,0.0,1.46,66.6,55.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",66.83,67.76,44.42,66.63,66.59,65.36,58.82,53.61,-0.2,7.08,71.56,59.16
BAC,Bank of America,Financials,Diversified Banks,49.97,57.25,33.82,51.09,51.99,53.33,53.97,50.07,-0.2,13.85,56.89,49.77
BAX,Baxter International,Health Care,Health Care Equipment,20.42,36.1,17.41,20.68,20.87,20.89,20.16,23.46,-0.1,11.12,22.69,19.09
BDX,Becton Dickinson,Health Care,Health Care Equipment,176.22,185.39,127.66,180.13,180.45,173.48,163.98,148.56,0.2,8.6,191.37,155.58
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,505.22,539.8,459.11,498.1,498.57,498.07,495.49,492.46,0.2,1.04,510.47,485.65
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,61.44,85.32,53.98,62.41,64.17,65.62,67.45,70.75,-0.2,14.27,70.21,61.03
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,58.83,71.28,46.47,57.4,58.05,61.41,62.73,57.11,-0.2,17.41,69.07,53.75
BIIB,Biogen,Health Care,Biotechnology,191.88,201.18,113.38,192.42,193.25,190.49,181.47,152.51,0.2,5.78,202.97,177.99
BLK,BlackRock,Financials,Asset Management & Custody Banks,1066.55,1196.76,803.7,1080.53,1081.4,1080.81,1092.19,1078.27,0.2,4.6,1115.61,1045.98
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,114.01,184.87,113.71,116.06,122.15,127.47,142.82,151.56,0.0,25.63,143.23,111.7
