Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,52_Week_High,52_Week_Low,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_125,SMA_200
MMM,3M,Industrials,Industrial Conglomerates,156.66,163.4,120.83,156.13,155.17,155.26,153.58,149.32,147.39,144.28
AOS,A. O. Smith,Industrials,Building Products,73.25,90.29,58.25,72.92,72.61,72.42,71.17,68.52,67.61,67.81
ABT,Abbott Laboratories,Health Care,Health Care Equipment,131.33,139.95,109.57,131.8,132.06,131.91,130.3,131.42,130.57,127.24
ABBV,AbbVie,Health Care,Biotechnology,217.61,221.77,159.42,215.65,213.74,211.08,200.25,192.89,192.2,188.69
ACN,Accenture,Information Technology,IT Consulting & Other Services,237.87,394.41,235.92,243.13,248.94,252.37,262.74,284.91,287.17,313.26
ADBE,Adobe Inc.,Information Technology,Application Software,347.1,587.75,330.04,350.25,349.73,353.48,357.13,375.75,374.51,404.35
AMD,Advanced Micro Devices,Information Technology,Semiconductors,161.16,186.65,76.48,158.15,157.96,162.36,163.1,139.54,131.14,126.26
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,13.03,19.17,9.28,12.84,12.93,13.14,13.02,11.79,11.67,11.58
AFL,Aflac,Financials,Life & Health Insurance,108.41,113.54,96.14,107.95,107.39,107.29,103.78,103.78,104.34,104.21
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,125.63,153.19,96.23,125.19,126.18,123.23,119.72,116.36,115.21,123.36
APD,Air Products,Materials,Industrial Gases,289.52,336.92,242.14,290.3,290.37,291.96,291.78,283.1,281.69,291.17
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",120.37,163.93,99.88,122.64,123.95,125.91,130.26,130.68,128.27,130.97
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,76.46,106.8,67.51,77.48,77.66,77.38,77.15,77.94,77.82,83.58
ALB,Albemarle Corporation,Materials,Specialty Chemicals,81.04,111.49,48.84,75.36,77.71,79.75,76.23,67.72,67.11,74.33
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,85.57,118.73,66.16,84.59,83.86,81.85,79.21,75.3,77.17,84.38
ALGN,Align Technology,Health Care,Health Care Supplies,131.06,262.87,127.7,133.48,134.76,139.1,160.41,171.3,169.75,184.89
ALLE,Allegion,Industrials,Building Products,176.2,177.75,116.14,173.76,172.02,170.97,163.65,152.03,146.9,140.92
LNT,Alliant Energy,Utilities,Electric Utilities,64.73,67.11,54.71,64.45,64.48,65.12,64.43,62.53,62.25,61.2
ALL,Allstate,Financials,Property & Casualty Insurance,196.89,213.71,173.88,199.98,201.8,203.42,200.12,199.83,199.31,196.31
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,251.61,252.4,140.23,242.32,235.41,220.51,202.51,185.05,179.3,181.1
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,251.76,252.75,142.36,242.68,235.77,221.07,203.28,186.1,180.57,182.51
MO,Altria,Consumer Staples,Tobacco,64.89,68.6,46.28,66.06,66.3,66.6,63.24,60.86,59.95,57.02
AMZN,Amazon,Consumer Discretionary,Broadline Retail,231.43,242.52,161.38,231.62,231.33,229.69,226.92,215.89,210.02,214.14
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,8.28,11.04,8.16,8.26,8.29,8.43,9.1,9.14,9.17,9.36
AEE,Ameren,Utilities,Multi-Utilities,100.47,102.85,80.57,100.01,99.76,99.99,99.22,97.42,97.34,95.34
AEP,American Electric Power,Utilities,Electric Utilities,109.1,115.08,87.57,108.8,108.84,110.69,109.57,106.03,105.58,102.08
AXP,American Express,Financials,Consumer Finance,327.26,332.46,219.87,325.92,326.68,321.64,313.11,302.8,293.86,295.62
AIG,American International Group,Financials,Multi-line Insurance,77.03,87.61,68.55,78.23,79.33,80.7,80.25,81.83,81.93,79.23
AMT,American Tower,Real Estate,Telecom Tower REITs,192.5,234.33,169.77,194.5,195.63,201.27,210.63,212.77,212.73,204.32
AWK,American Water Works,Utilities,Water Utilities,137.58,153.69,116.64,139.02,140.24,142.37,142.0,141.63,141.91,136.58
